Times,OffenseTeam,Down,ToGo,Result,YardLineFixed
45:25,DET,4,2,Made,28
15:02,TEN,2,10,Missed,40
39:41,ARI,4,16,Made,29
57:08,ARI,4,4,Missed,22
51:03,ARI,4,6,Made,14
48:50,ARI,4,17,Made,17
9:05,DEN,4,5,Made,13
30:00,DEN,4,3,Missed,11
15:37,DEN,4,5,Made,35
56:39,DEN,4,9,Made,22
9:56,LAC,4,8,Made,15
0:06,LAC,4,3,Made,3
17:26,LAC,4,13,Made,18
15:14,PHI,4,4,Made,4
55:00,PHI,4,8,Made,23
51:01,PHI,4,21,Made,36
48:50,PHI,4,4,Made,15
7:18,DAL,4,3,Made,3
24:45,DAL,4,6,Missed,35
32:17,DAL,4,5,Missed,32
19:18,PIT,4,17,Made,34
15:06,PIT,3,10,Made,25
40:10,BAL,4,6,Made,29
57:17,PIT,4,5,Made,6
45:46,PIT,4,8,Made,28
9:05,MIA,4,11,Made,12
3:53,MIA,4,4,Made,26
15:06,NE,4,2,Made,28
45:57,NE,4,15,Made,15
1:35,DEN,4,22,Missed,22
21:38,IND,4,3,Made,27
39:17,IND,4,3,Made,21
50:18,DEN,4,8,Made,22
12:03,DET,4,3,Made,30
30:00,DET,4,10,Made,13
0:01,KC,4,8,Made,12
15:12,KC,4,3,Missed,34
30:31,KC,4,6,Made,6
56:04,KC,4,3,Made,33
3:20,MIA,4,6,Made,9
24:20,MIA,4,6,Made,23
35:44,BUF,4,16,Made,16
45:43,MIA,4,3,Made,8
24:06,CAR,4,14,Made,15
31:27,GB,4,4,Made,10
8:49,BAL,4,9,Made,13
15:04,CLE,1,10,Made,27
30:08,BAL,4,11,Made,25
15:56,JAX,4,10,Made,20
1:35,MIN,4,7,Made,35
36:37,MIN,4,3,Made,17
11:41,NO,4,5,Made,5
15:13,NYJ,4,10,Made,11
38:12,NYJ,4,8,Made,8
15:31,NYG,4,7,Made,10
39:22,PHI,4,5,Made,10
56:34,NYG,4,6,Missed,29
48:59,PHI,4,2,Made,2
3:52,ARI,4,16,Made,23
22:38,ARI,4,3,Made,17
15:04,ARI,4,1,Made,1
43:39,ARI,4,4,Made,16
34:27,WAS,4,6,Made,6
57:42,ARI,4,5,Made,36
56:18,ARI,4,3,Made,14
49:35,WAS,4,5,Made,14
12:09,LA,4,2,Made,18
8:24,LA,4,6,Made,13
27:20,PIT,4,26,Made,33
24:08,NE,4,10,Made,14
49:00,NE,4,17,Made,28
8:55,SF,4,1,Made,20
4:40,SF,4,4,Made,29
29:10,TEN,4,10,Made,22
16:41,SF,4,10,Made,10
38:34,TEN,4,5,Made,13
53:33,SF,4,21,Made,32
48:13,SF,4,26,Made,30
46:12,TEN,4,2,Made,32
45:03,SF,4,7,Made,27
5:01,DAL,4,8,Made,27
15:03,OAK,2,20,Missed,21
36:18,OAK,4,9,Made,21
46:47,DAL,4,1,Made,1
18:17,ATL,4,10,Made,39
31:22,ATL,4,10,Missed,15
45:05,TB,2,10,Missed,36
6:38,BAL,4,12,Made,12
1:18,IND,4,7,Missed,20
17:00,BAL,4,9,Made,21
15:04,IND,1,5,Missed,42
39:29,BAL,4,4,Made,18
37:18,IND,4,7,Made,30
31:38,IND,4,6,Made,20
49:37,IND,4,6,Made,11
8:33,MIN,4,7,Made,31
31:23,MIN,4,2,Made,2
48:00,MIN,4,5,Made,9
8:17,CAR,4,6,Made,7
2:27,TB,4,7,Made,13
23:42,CAR,4,5,Made,10
18:02,TB,4,22,Made,23
15:05,TB,2,3,Made,3
60:00,TB,4,8,Made,8
48:05,TB,4,7,Missed,33
15:06,CLE,1,10,Made,30
22:38,CIN,4,11,Made,11
15:04,CIN,2,7,Made,9
39:29,DET,4,2,Made,5
33:51,DET,4,2,Missed,32
59:18,CIN,4,15,Made,17
49:47,CIN,4,3,Made,33
9:45,KC,4,3,Made,13
3:33,MIA,4,14,Made,26
23:14,MIA,4,5,Made,10
15:11,KC,4,7,Made,14
40:27,KC,4,3,Made,3
57:19,KC,4,11,Made,11
55:04,MIA,4,24,Missed,30
48:46,KC,4,6,Made,31
47:00,KC,4,7,Missed,28
5:36,BUF,4,15,Made,23
29:18,NE,4,2,Made,3
17:00,NE,4,1,Made,22
15:02,BUF,4,4,Made,4
40:25,BUF,4,12,Made,12
35:12,NE,4,11,Made,16
58:13,BUF,4,1,Missed,32
7:37,NO,4,10,Made,22
16:23,NO,4,10,Made,11
39:39,ATL,4,5,Made,19
55:23,ATL,4,7,Made,30
48:43,NO,4,4,Made,27
41:27,LAC,4,9,Missed,29
1:17,TEN,4,7,Made,7
22:57,LA,4,18,Missed,18
15:24,TEN,4,7,Made,19
39:43,TEN,4,6,Missed,27
59:51,TEN,4,4,Made,9
2:10,DEN,4,2,Made,13
21:19,WAS,4,8,Made,8
33:35,WAS,4,4,Made,11
5:46,SF,4,4,Made,9
41:02,JAX,4,11,Made,27
5:33,ARI,4,3,Made,3
24:03,NYG,4,1,Missed,15
29:16,DAL,4,3,Made,16
20:53,DAL,4,9,Made,33
15:08,DAL,3,10,Made,33
38:41,DAL,4,10,Made,21
50:43,DAL,4,16,Missed,16
46:05,DAL,1,5,Missed,30
10:44,PIT,4,8,Made,16
15:57,PIT,4,12,Made,18
15:15,PHI,4,4,Missed,15
40:54,OAK,4,3,Made,6
32:17,PHI,4,9,Made,17
53:03,OAK,4,7,Missed,30
45:27,PHI,4,2,Made,31
36:35,ATL,4,10,Made,12
33:49,ATL,4,7,Made,24
59:15,ATL,4,1,Made,12
55:38,CAR,4,6,Made,24
51:43,ATL,4,14,Made,38
47:31,ATL,4,2,Made,15
26:18,BAL,4,4,Made,28
15:26,CIN,4,10,Made,14
58:12,BAL,4,11,Made,16
5:04,GB,4,10,Made,23
3:06,DET,4,7,Made,10
15:35,DET,4,7,Made,12
8:20,HOU,4,5,Made,34
16:49,HOU,4,6,Made,28
53:52,IND,4,8,Made,36
45:35,IND,4,2,Made,4
29:50,BUF,4,5,Made,5
40:21,BUF,4,5,Made,31
32:34,MIA,4,12,Made,18
56:45,BUF,4,1,Made,15
15:01,MIN,2,4,Missed,37
53:27,CHI,4,22,Made,37
1:47,NYJ,4,19,Made,30
27:33,NYJ,4,8,Missed,22
31:32,NE,4,3,Made,3
55:32,NYJ,4,9,Made,17
4:53,NYG,4,5,Made,5
15:04,WAS,1,10,Made,31
36:56,WAS,4,9,Missed,29
59:12,NYG,4,5,Made,11
45:16,DAL,4,5,Missed,5
32:09,CLE,4,20,Made,33
32:48,NO,4,15,Made,30
49:35,TB,4,10,Made,24
25:14,JAX,4,11,Made,23
16:26,TEN,4,5,Made,7
15:03,TEN,4,2,Made,21
37:47,TEN,4,12,Made,20
34:02,KC,4,2,Made,2
45:04,KC,2,6,Made,12
23:43,LAC,4,7,Missed,32
22:33,OAK,4,2,Made,22
40:44,LAC,4,7,Made,7
12:13,SF,4,10,Made,15
1:15,LA,4,5,Made,5
20:05,SF,4,3,Made,29
15:01,LA,1,3,Made,3
7:15,ARI,4,8,Made,31
16:02,ARI,4,6,Made,28
34:26,ARI,4,2,Made,35
58:08,SEA,4,1,Made,31
47:25,ARI,4,2,Made,24
45:37,SEA,4,9,Missed,30
