Times,OffenseTeam,Down,ToGo,Result,YardLineFixed
27:05,IND,4,6,Made,11
15:03,IND,2,3,Made,15
56:24,IND,4,8,Made,11
8:57,LAC,4,1,Missed,33
19:10,NE,4,2,Made,6
15:24,NE,4,8,Made,18
44:32,NE,4,10,Missed,25
35:30,NE,4,13,Made,25
54:45,NE,4,5,Missed,25
46:12,NE,4,4,Made,8
11:14,NO,4,5,Made,14
29:57,CHI,4,8,Made,8
15:27,CHI,4,18,Missed,30
35:47,CHI,4,10,Made,25
57:59,NO,4,3,Made,27
46:40,NO,4,3,Made,31
8:20,NYJ,4,4,Missed,28
29:07,NYJ,4,15,Made,25
23:09,ATL,4,5,Made,5
15:03,ATL,4,18,Made,27
35:16,ATL,4,2,Made,19
59:21,NYJ,4,16,Missed,30
53:46,NYJ,4,8,Made,28
50:22,ATL,4,8,Made,11
2:41,PHI,4,8,Made,22
38:06,PHI,4,5,Made,32
59:10,SF,4,9,Missed,9
50:26,SF,4,19,Made,32
15:20,CAR,4,6,Made,10
34:53,TB,4,8,Made,23
37:08,HOU,4,10,Made,13
34:39,SEA,4,1,Made,3
32:27,SEA,4,3,Made,3
13:17,WAS,4,1,Made,20
28:04,DAL,4,15,Missed,31
25:09,WAS,4,7,Made,23
18:19,WAS,4,10,Missed,18
38:44,DAL,4,6,Made,18
36:29,DAL,4,14,Made,30
30:42,DAL,4,5,Made,9
53:47,DAL,4,5,Made,19
12:17,PIT,4,2,Made,16
7:55,DET,4,14,Made,30
24:15,DET,4,19,Made,19
17:19,DET,4,5,Made,33
15:17,DET,4,10,Made,16
39:25,PIT,4,19,Made,20
57:59,DET,4,1,Made,1
26:51,DEN,4,9,Made,9
20:05,KC,4,7,Made,7
42:35,KC,4,8,Made,14
38:15,DEN,4,7,Made,15
57:35,KC,4,9,Made,25
52:07,KC,4,5,Made,33
49:46,KC,4,12,Made,24
25:30,NYJ,4,11,Made,27
51:46,NYJ,4,7,Made,14
12:24,ATL,4,4,Made,35
39:08,CAR,4,6,Made,13
31:44,CAR,4,9,Made,27
28:07,HOU,4,9,Missed,21
19:37,IND,4,4,Made,4
54:17,IND,4,4,Made,35
2:34,JAX,4,7,Made,14
15:28,JAX,4,4,Made,38
36:55,JAX,4,1,Made,8
